X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,t,TE,y,e,wt,v
e,a,d,b,c,1.78,1.66,-0.86,0.94,1.28,-1.02,-0.78,1.04,-1.56,0.56,-0.05,1.97,0.4,-1.66,2.04,1,17.87,29.93,0.94,1.06,31.73
e,e,e,c,a,-0.36,1.03,-0.63,-1.22,-0.71,1.42,0.24,0.88,-0.34,-2.1,-0.47,-0.12,0.17,-2.12,-0.18,1,8.22,15.330000000000002,0.48,2.08,31.89
a,d,e,a,a,1.53,0.76,0.05,0.21,-1.03,-0.18,-0.11,0.26,-0.87,0.64,0.73,0.13,-0.19,-1.18,-0.4,1,8.0,16.96,0.89,1.12,19.0
e,b,b,e,b,0.7,1.21,1.49,1.32,-0.41,-0.09,0.33,-0.01,-1.53,-0.63,0.36,-0.88,-2.87,-0.8,1.37,0,10.42,7.460000000000001,0.5,2.0,14.92
a,b,a,c,e,-0.6,0.49,-0.38,0.3,0.04,1.22,-0.61,-1.33,-0.9,-0.6,1.12,1.97,1.23,-0.3,-0.86,1,13.62,21.8,0.84,1.19,25.94
d,e,c,d,e,-1.24,-2.42,-0.59,-1.22,0.75,1.03,1.34,0.76,-1.77,1.16,2.37,1.01,2.47,0.97,0.91,0,16.77,8.74,0.81,5.26,45.97
a,e,b,d,e,0.99,0.58,-0.1,1.15,0.66,0.66,-1.75,-1.32,0.05,-0.52,-1.33,-1.15,-2.38,-0.82,-1.15,1,7.23,11.46,0.49,2.04,23.38
a,e,a,a,a,0.71,1.66,1.84,-1.11,-0.69,0.38,0.62,0.4,0.35,0.23,2.15,1.4,1.41,0.04,0.45,1,18.46,30.35,0.92,1.09,33.08
b,c,c,c,e,-0.46,1.5,1.58,-1.32,-0.64,-1.73,0.54,1.11,-0.38,0.72,1.14,-1.6,0.5,2.22,0.55,0,9.61,8.65,0.51,2.04,17.65
a,a,c,b,d,-0.47,-0.09,0.66,0.56,-1.06,1.29,-0.44,-1.15,0.68,0.68,-1.16,0.4,-1.43,-0.62,-2.33,0,10.78,3.8800000000000003,0.61,2.56,9.93
b,e,a,b,d,0.4,-0.13,-1.51,-1.32,0.69,0.65,0.38,1.85,-0.24,0.06,-0.7,1.75,-0.61,-1.44,-0.35,0,11.19,8.38,0.67,3.03,25.39
a,e,a,c,e,0.77,1.17,-1.6,-2.32,-0.27,0.34,0.73,1.95,0.92,-1.09,0.26,-0.97,-0.71,-1.03,-1.5,1,10.81,17.650000000000002,0.68,1.47,25.95
e,a,d,a,d,2.34,0.57,1.08,-0.98,-2.11,1.18,-1.63,-0.01,-1.53,-1.24,-0.03,-2.02,-2.15,0.51,0.09,0,7.56,4.9,0.47,1.89,9.26
e,c,b,d,e,0.03,0.43,-3.12,-1.68,-0.56,-0.0,-0.76,-1.13,-0.46,0.35,0.2,-0.39,-0.56,-0.08,-2.21,0,3.03,1.5500000000000003,0.25,1.33,2.06
c,b,c,e,e,-2.0,1.68,0.57,-0.86,-0.17,-0.28,-1.07,-2.43,1.11,-0.48,0.06,2.0,-0.04,-0.03,-2.28,0,11.55,5.170000000000001,0.68,3.13,16.18
b,e,e,e,b,-0.24,-0.55,1.76,0.09,0.29,-0.36,2.51,-0.54,3.54,-0.3,-0.28,-1.43,1.25,0.31,0.8,1,17.5,26.77,0.82,1.22,32.66
d,c,d,e,e,-3.0,0.54,0.63,1.61,0.73,0.58,0.42,-1.16,-1.03,-2.59,-0.96,0.11,-1.11,1.44,-0.85,1,10.13,13.29,0.57,1.75,23.26
c,e,c,c,d,1.24,0.24,-0.39,0.45,-1.13,1.73,-1.45,0.7,0.99,-1.42,0.41,-0.14,-0.45,0.87,0.24,1,11.27,20.53,0.74,1.35,27.72
d,b,a,a,a,0.02,-1.9,-0.54,-0.68,0.48,0.11,-0.23,1.95,0.55,-0.76,0.46,0.81,0.58,0.29,0.65,1,11.38,21.44,0.66,1.52,32.59
c,b,b,c,d,-0.71,0.77,-0.88,-0.91,0.42,-2.37,0.37,1.17,-0.75,0.03,1.38,0.51,-0.98,-0.42,-0.56,0,7.59,7.69,0.46,1.85,14.23
e,b,c,b,c,-1.34,-0.11,0.3,-0.54,-0.44,0.94,0.34,-1.2,-1.04,-0.58,-0.12,0.02,1.46,-0.78,2.82,1,13.9,20.54,0.76,1.32,27.11
d,c,a,e,d,1.02,0.44,-0.8,0.0,-1.37,-0.76,-0.48,0.43,0.21,1.0,0.94,1.89,0.78,1.45,-0.14,1,13.37,25.16,0.78,1.28,32.2
c,d,e,c,d,0.36,0.63,0.22,-1.03,0.34,0.37,-0.23,-0.81,-1.03,0.65,2.36,-1.7,0.35,0.47,1.67,1,9.43,17.53,0.81,1.23,21.56
b,c,c,a,e,0.39,2.01,0.83,1.99,-0.41,-1.12,-0.76,0.28,-2.21,0.91,0.72,1.93,2.12,-0.21,0.53,1,19.76,33.0,0.94,1.06,34.98
e,d,d,d,e,1.15,1.06,-0.82,0.22,1.29,-1.23,0.37,1.57,0.45,1.21,-1.25,1.34,-0.06,-1.11,-1.8,0,12.54,9.100000000000001,0.73,3.7,33.67
b,a,b,b,b,0.05,2.41,-1.0,-0.35,-2.16,0.02,-0.49,2.15,-0.36,0.86,1.7,0.3,2.27,0.15,-0.45,1,16.36,29.490000000000002,0.87,1.15,33.91
d,e,c,b,d,1.37,0.12,-2.16,0.22,-1.77,-0.78,0.19,0.48,0.14,-0.6,-0.74,1.62,-1.08,0.17,-0.02,1,8.82,16.89,0.5,2.0,33.78
b,a,b,b,e,1.54,0.86,-0.15,0.87,0.76,0.21,1.46,1.09,-1.2,0.58,-1.25,-0.56,0.83,0.67,-0.31,1,11.02,20.77,0.87,1.15,23.89
e,e,c,e,e,1.28,1.75,0.45,0.64,0.43,-0.55,0.84,2.22,1.16,-1.31,-0.52,0.14,1.31,0.33,0.85,1,15.34,28.57,0.91,1.1,31.43
a,b,e,d,d,0.38,1.82,1.41,-0.27,-1.1,-0.29,0.03,-0.15,0.18,0.1,1.43,-0.15,0.62,-0.95,-0.57,0,9.08,8.82,0.82,5.56,49.04
b,d,a,c,b,0.22,1.24,0.16,-0.39,-1.72,-2.36,0.45,0.76,1.75,0.25,-0.94,-0.87,1.13,0.94,0.1,1,13.43,21.69,0.83,1.2,26.03
d,b,c,c,c,-1.76,-0.44,-0.16,0.26,0.19,-1.5,0.89,0.24,1.75,-2.05,0.49,-0.82,-1.83,-0.35,1.23,1,12.35,18.19,0.47,2.13,38.74
b,b,b,c,a,-1.1,1.12,-0.71,-0.92,1.1,1.41,1.64,0.91,-1.81,-0.09,-1.6,-0.67,-1.15,-1.08,0.17,1,11.61,17.19,0.71,1.41,24.24
d,b,e,b,a,-3.08,-0.21,0.27,0.96,0.35,-0.85,-0.74,-1.02,-2.31,-1.59,0.62,-0.95,-1.26,0.98,2.3,0,10.89,3.83,0.12,1.14,4.37
b,a,e,b,e,-0.95,0.83,-1.3,0.83,1.25,0.48,-1.0,1.19,0.06,-0.53,-0.26,0.6,0.45,-0.47,-1.07,0,10.1,9.09,0.52,2.08,18.91
a,b,c,d,a,-0.5,-0.36,0.75,0.25,2.93,1.18,-1.17,-0.73,-0.21,1.67,0.5,-0.86,0.53,0.36,2.02,1,18.81,28.09,0.92,1.09,30.62
e,b,e,c,c,0.24,0.45,1.31,-1.13,0.37,-0.03,-0.47,0.09,0.05,-1.84,-0.15,-2.25,0.58,-1.54,-0.19,1,8.92,15.010000000000002,0.68,1.47,22.06
c,d,d,e,c,0.09,2.19,-0.86,0.69,1.92,-2.52,-1.13,-0.56,0.76,0.74,-1.27,0.45,0.96,0.69,-0.98,1,16.41,24.92,0.92,1.09,27.16
d,c,c,c,a,-0.91,0.42,-1.48,-0.11,-1.35,-2.28,-1.65,-1.56,-0.52,-0.61,-1.27,-0.21,-0.19,-0.96,-0.56,0,4.64,1.9000000000000004,0.07,1.08,2.05
d,d,a,d,a,-0.45,-0.94,-0.01,1.72,2.6,-0.04,-0.14,-0.67,-0.0,-1.0,0.01,0.02,-0.83,-0.67,0.07,1,12.19,19.22,0.77,1.3,24.99
a,a,d,e,b,1.74,1.03,0.19,0.17,-1.42,-0.08,1.06,2.1,0.58,-0.48,-1.06,-2.65,0.04,-0.95,0.22,1,8.27,16.54,0.85,1.18,19.52
b,b,c,e,c,-0.92,-2.26,0.61,1.09,0.66,1.36,0.6,-0.92,0.4,-0.39,-3.14,0.39,-0.02,0.99,-1.45,1,12.2,16.01,0.67,1.49,23.85
b,a,e,e,d,0.02,-0.98,-0.34,0.5,-0.11,-1.24,2.04,-1.07,0.86,0.19,0.19,-0.11,-1.91,0.54,-0.12,0,5.41,5.2,0.58,2.38,12.38
a,a,c,d,a,-0.09,1.13,-1.44,-0.81,1.51,-0.37,0.11,-0.26,2.16,-0.74,0.99,1.03,0.87,1.08,-0.47,1,16.52,26.650000000000002,0.9,1.11,29.58
c,b,a,c,a,-0.72,-0.16,-0.68,0.14,0.08,0.03,-0.06,0.24,-0.03,0.31,0.2,-1.15,0.71,-0.35,-2.08,0,7.49,5.430000000000001,0.41,1.69,9.18
d,e,a,b,e,-1.01,-1.12,0.77,-0.4,-2.92,-1.09,0.03,-0.83,-0.24,-0.2,0.54,-0.27,-0.91,-0.88,-0.53,0,5.64,3.0900000000000003,0.24,1.32,4.08
d,b,b,c,a,0.12,-0.97,0.6,-1.04,0.96,-0.14,0.33,0.0,0.07,0.73,-0.09,-0.92,0.25,-0.58,1.12,1,10.31,16.48,0.71,1.41,23.24
d,e,d,a,e,0.4,-0.02,0.4,-1.11,-0.48,-1.06,0.79,1.1,-1.08,-1.49,-1.25,0.57,-0.44,-0.15,-0.81,1,5.95,12.71,0.49,2.04,25.93
a,e,c,d,a,1.56,2.24,1.62,0.33,-0.74,-0.85,0.62,-0.0,-0.8,1.94,-0.7,0.76,1.06,-0.32,1.56,1,17.12,29.310000000000002,0.89,1.12,32.83
c,e,e,d,c,-1.26,0.73,-0.52,1.28,0.96,-0.56,0.73,-0.65,-0.02,-1.7,1.86,-0.14,1.48,-0.3,0.04,1,12.1,19.79,0.79,1.27,25.13
c,e,c,d,e,0.77,2.4,0.48,0.02,-0.08,-2.22,-1.13,0.57,-0.37,1.08,-0.25,0.75,-0.85,-0.13,-0.13,1,9.9,19.19,0.71,1.41,27.06
d,d,d,c,a,1.16,-0.45,-0.11,-1.96,-1.16,-0.88,-0.52,0.71,1.44,-0.74,1.65,0.14,-0.49,-1.49,-0.24,0,8.04,7.75,0.43,1.75,13.56
e,d,c,a,e,0.82,0.87,0.68,0.59,-0.98,-0.35,-0.04,0.77,-1.45,-0.66,0.57,0.55,-1.82,0.44,-0.73,1,6.88,14.05,0.72,1.39,19.53
d,a,a,d,d,0.33,0.81,-0.77,0.02,1.36,-0.09,-0.37,-1.94,0.72,-0.83,-0.43,0.77,0.03,0.77,-0.96,1,9.67,17.45,0.48,2.08,36.3
b,a,b,a,d,2.11,0.14,1.69,-0.36,0.21,-0.52,-0.14,1.4,0.44,1.59,1.3,0.12,1.51,0.38,1.33,1,13.85,27.16,0.92,1.09,29.6
d,e,b,c,d,-0.59,0.02,-0.68,-0.48,0.82,-1.9,-1.08,1.24,-0.93,-0.32,0.84,-0.06,-1.37,-0.21,0.78,0,7.43,6.45,0.23,1.3,8.38
c,a,c,d,a,-1.6,-1.11,0.93,-0.84,-0.85,-0.35,-1.7,-0.58,-1.55,-0.71,0.61,-0.53,-1.37,1.55,0.32,0,3.51,3.9700000000000006,0.25,1.33,5.28
e,d,a,c,a,-1.05,-0.72,-0.3,0.16,-0.45,-0.02,0.49,0.87,0.38,0.98,1.26,0.32,-0.03,-0.39,-1.48,0,9.83,6.57,0.46,1.85,12.15
b,c,b,d,b,-0.83,0.04,0.0,-1.45,-0.19,-0.64,-0.31,-0.31,0.67,0.11,-1.1,-1.18,0.26,0.44,-0.46,1,6.16,10.55,0.43,2.33,24.58
d,d,b,b,c,-0.9,0.07,-0.18,0.3,0.9,-0.36,-1.77,1.22,0.9,-0.12,0.96,0.46,0.7,0.45,-0.07,1,11.03,21.740000000000002,0.9,1.11,24.13
d,b,d,a,c,-1.09,-0.97,-0.83,-0.4,0.66,-0.21,-1.23,0.83,-0.23,0.87,0.61,-0.82,0.3,-0.11,-0.09,1,10.86,17.21,0.76,1.32,22.72
b,e,d,c,b,1.45,-0.39,-0.98,-1.69,0.14,0.75,0.25,-1.86,-1.18,0.48,1.6,0.9,-1.14,0.22,-0.48,0,10.78,4.95,0.28,1.39,6.88
b,d,b,b,c,-0.25,-0.09,-1.5,-0.46,-1.41,0.26,-1.77,-1.08,-0.23,2.43,1.84,-0.35,-0.69,1.1,0.31,1,12.22,17.82,0.73,1.37,24.41
e,b,c,d,c,-0.66,-0.36,-1.35,-0.79,-0.44,0.03,0.87,-0.41,-0.11,0.19,1.11,1.64,-0.2,-1.6,-0.37,0,7.75,5.28,0.69,3.23,17.05
d,e,b,a,a,-0.5,0.72,1.32,-0.24,0.85,-1.24,0.69,-0.3,1.09,1.18,-0.26,0.56,-2.0,-0.55,-0.3,0,13.33,6.8500000000000005,0.53,2.13,14.59
c,a,e,d,e,0.33,1.78,0.87,0.76,0.81,-0.89,-1.61,-0.29,-0.2,-0.86,-0.64,0.1,0.97,-2.0,-1.13,1,8.12,15.900000000000002,0.66,1.52,24.17
e,c,b,c,d,-0.71,1.38,-1.2,0.55,-1.0,-1.18,-0.67,1.73,-1.09,0.71,0.27,-0.25,-1.11,0.56,-1.66,1,9.87,15.16,0.42,2.38,36.08
d,d,b,e,e,0.71,-0.19,1.08,-0.35,-0.82,0.44,-0.09,-1.11,0.08,0.06,0.2,0.39,0.43,-1.93,1.63,0,5.92,8.52,0.62,2.63,22.41
d,b,d,a,a,-1.82,-1.99,-0.54,-0.31,0.24,0.01,0.77,0.29,-0.83,-0.55,-0.94,1.92,0.46,1.06,-0.36,0,10.26,5.2700000000000005,0.47,1.89,9.96
e,c,c,b,e,1.39,0.46,-1.11,0.32,-1.1,1.45,0.51,-0.3,0.47,-0.18,-1.37,0.32,1.01,-0.36,0.79,0,11.71,7.710000000000001,0.81,5.26,40.55
c,b,d,b,e,0.1,0.21,-1.63,-1.3,-0.04,-0.37,0.16,0.31,-0.52,0.18,-0.14,0.25,0.75,0.33,2.81,1,9.94,18.32,0.71,1.41,25.83
c,d,b,a,d,0.44,0.65,0.1,-0.95,-0.39,0.78,1.32,0.17,0.63,-1.54,-1.51,-0.97,-0.37,0.6,-0.21,1,5.76,11.760000000000002,0.65,1.54,18.11
b,b,c,d,c,-0.29,0.29,-0.52,-0.49,-1.5,-0.6,0.91,0.97,0.55,-2.13,-0.94,1.02,-0.7,-0.28,-2.5,0,7.04,6.640000000000001,0.71,3.45,22.91
c,b,c,d,d,-0.05,0.71,-1.44,-2.06,1.29,-0.11,0.52,0.09,0.73,0.42,2.08,-0.66,-0.65,-0.25,0.17,0,10.33,8.76,0.59,2.44,21.37
d,c,b,b,a,0.07,-1.12,-0.47,1.15,-0.26,0.32,0.69,-0.13,0.48,0.61,-0.37,-0.7,0.93,0.36,0.55,1,11.77,19.71,0.75,1.33,26.21
a,d,d,a,d,-0.92,0.34,2.0,-1.13,-0.41,0.39,-0.3,-1.64,1.38,-0.44,1.0,0.67,-0.6,-0.05,2.13,1,11.38,18.02,0.87,1.15,20.72
e,d,b,b,a,0.4,-0.1,0.75,0.26,-0.68,0.82,-0.01,-1.24,0.67,-0.44,0.85,0.21,-0.7,-1.6,0.92,1,9.89,15.79,0.84,1.19,18.79
b,a,d,b,b,0.15,0.85,0.32,-0.46,-0.93,2.44,-1.45,0.28,0.17,-0.83,-0.72,0.16,-0.54,-0.79,-0.5,0,10.06,7.57,0.59,2.44,18.47
b,a,a,a,d,0.7,1.34,0.15,-0.14,0.78,-0.23,0.35,-0.74,0.75,0.41,1.07,1.23,0.55,1.45,-0.34,1,14.4,25.26,0.82,1.22,30.82
d,d,e,c,c,0.27,-1.65,0.57,1.28,0.01,1.0,-0.13,0.65,-0.45,-0.22,0.37,-1.46,0.43,0.82,-0.43,1,9.42,15.7,0.78,1.28,20.1
c,d,b,c,b,-0.65,1.07,0.24,1.35,0.09,0.69,-0.18,-0.53,1.65,-1.55,-0.85,0.39,-1.47,0.71,0.85,1,13.21,21.17,0.7,1.43,30.27
c,e,e,c,e,0.22,-1.71,0.35,-0.05,0.55,-1.67,-0.44,-0.46,0.93,0.56,-0.96,1.4,-0.38,0.93,-0.12,1,8.84,15.93,0.6,1.67,26.6
a,e,d,c,b,-1.71,1.8,-0.63,-1.33,1.46,0.47,0.54,0.23,-0.07,-1.74,-1.05,-0.53,1.34,0.77,0.24,1,13.99,21.450000000000003,0.79,1.27,27.24
e,e,b,d,e,-0.27,-1.2,0.59,0.57,-0.02,0.66,-0.97,1.37,-0.12,0.46,-0.28,0.89,0.52,-1.06,0.0,1,8.58,16.38,0.58,1.72,28.17
c,a,c,d,c,-0.95,-0.27,0.7,0.86,-0.39,-1.19,0.4,1.08,0.64,0.38,-0.43,0.0,-0.91,0.15,-2.07,1,6.45,12.65,0.79,1.27,16.07
e,a,b,d,b,-0.68,0.03,0.16,-0.87,-1.61,0.63,-0.75,-1.25,-1.31,1.22,-1.08,1.72,-1.16,0.81,0.45,0,10.03,3.8400000000000003,0.37,1.59,6.11
e,c,b,d,b,0.41,-0.09,-0.97,1.31,0.43,-0.92,-0.14,0.74,0.77,-0.48,0.04,-0.24,2.0,-0.64,0.17,0,12.04,9.420000000000002,0.53,2.13,20.06
a,c,e,b,c,-0.25,-2.41,0.85,-2.05,1.14,0.0,1.35,-0.34,-1.46,1.71,-0.41,0.24,-1.66,-0.2,0.34,1,12.88,17.79,0.36,2.78,49.46
c,e,e,c,b,-0.54,0.55,0.61,-0.62,-0.36,-2.23,-0.09,0.34,1.37,1.88,0.12,0.66,-0.45,1.72,-0.11,0,12.88,9.14,0.68,3.13,28.61
e,d,e,a,a,-1.46,1.77,0.84,-2.3,-0.2,0.25,-0.63,2.0,1.42,-2.91,-0.35,0.27,-0.56,1.91,0.11,0,11.66,9.82,0.9,10.0,98.2
c,e,c,a,a,0.47,-1.11,-0.56,0.78,1.83,-0.41,1.19,-0.83,-0.38,-0.4,0.18,0.96,-0.86,0.23,0.34,1,11.87,19.29,0.79,1.27,24.5
a,b,b,c,e,1.65,1.36,1.31,1.5,-0.42,1.32,-0.15,1.46,0.45,-1.3,-0.95,-0.51,0.55,-0.51,-0.48,1,12.56,23.240000000000002,0.84,1.19,27.66
b,a,a,e,b,1.34,0.7,-0.05,0.86,0.17,-0.91,0.22,0.09,-0.78,1.6,-0.84,2.39,-0.83,0.73,1.9,0,16.87,12.06,0.83,5.88,70.91
b,d,e,a,a,-1.86,0.77,-0.85,0.52,-1.18,0.98,-0.56,0.35,-0.53,0.91,-0.33,0.61,-1.35,1.56,1.49,1,10.61,17.75,0.7,1.43,25.38
c,b,a,b,a,0.51,-0.91,0.7,-1.27,-0.03,1.02,0.17,-0.1,-1.31,0.93,0.52,-0.28,0.08,0.07,0.12,1,11.21,18.66,0.82,1.22,22.77
c,d,e,e,e,0.53,-1.32,-0.88,0.73,-0.41,1.77,0.53,0.65,-0.24,-1.21,0.67,-1.67,0.94,0.36,0.55,1,8.19,15.02,0.86,1.16,17.42
d,b,c,a,b,-1.0,0.6,-0.06,1.36,-2.17,1.73,-2.02,0.92,-0.33,-1.42,-0.31,0.3,0.37,-1.58,1.01,1,13.82,22.26,0.76,1.32,29.38
c,d,c,e,d,1.08,0.92,0.72,1.91,-0.44,1.62,-0.2,1.49,-0.31,0.28,0.01,-0.06,1.26,0.75,1.9,1,16.01,29.1,0.97,1.03,29.97
b,b,d,b,a,0.26,1.55,0.92,-0.46,-0.39,0.83,0.16,-1.3,0.04,0.14,-0.33,-0.72,-0.88,1.65,-0.84,1,9.4,15.5,0.86,1.16,17.98
d,a,a,a,c,-1.77,0.84,1.0,0.09,-0.27,-1.51,0.56,-0.0,0.36,-1.57,0.56,1.78,-0.06,-0.38,1.07,1,11.89,21.02,0.78,1.28,26.91
a,e,c,d,a,-0.08,-0.52,0.35,-0.27,0.42,0.37,0.23,-1.4,0.71,0.03,-0.52,-0.12,0.01,-0.69,0.4,0,7.18,6.3100000000000005,0.71,3.45,21.77
a,a,a,a,d,0.7,0.8,0.35,-1.04,0.13,0.61,0.08,-0.24,0.87,0.41,0.76,0.94,-0.05,-0.09,-0.1,1,11.16,20.37,0.87,1.15,23.43
d,e,b,d,a,-2.85,-1.42,0.64,0.34,-0.37,0.14,0.11,-0.11,-0.32,0.33,0.24,-1.46,0.39,2.0,-0.61,0,6.45,4.69,0.52,2.08,9.76
d,b,c,e,c,0.48,0.11,-0.43,-0.43,-0.33,0.3,0.4,-0.17,0.89,-0.81,-0.54,0.19,-0.33,-0.89,0.18,1,9.55,17.38,0.8,1.25,21.72
e,b,e,d,c,0.21,0.92,-1.59,0.91,0.15,-1.66,-0.25,-0.04,-1.59,1.27,0.94,-0.2,0.71,2.54,-0.34,0,12.68,7.53,0.8,5.0,37.65
e,c,e,d,e,-0.07,-1.19,0.05,-0.45,-1.27,0.32,-1.27,-0.11,0.4,-0.37,-0.08,-0.6,-1.11,-0.25,-0.15,0,3.91,5.090000000000001,0.53,2.13,10.84
c,d,b,a,c,0.48,-1.05,0.71,-0.16,0.41,-0.36,-0.17,1.99,-1.55,-1.39,-0.17,-0.56,1.17,-0.64,-1.05,1,6.7,14.510000000000002,0.83,1.2,17.41
a,e,e,a,d,-0.59,-0.57,1.32,1.71,0.09,-0.31,0.71,-3.07,0.37,-1.95,-1.65,0.14,1.82,-1.85,0.08,1,12.06,16.34,0.68,1.47,24.02
e,e,d,d,d,0.65,0.99,2.1,1.49,1.13,0.02,-1.35,-0.81,0.78,0.24,-1.71,-0.04,1.72,-0.55,0.31,1,17.11,27.150000000000002,0.96,1.04,28.24
c,b,c,e,a,-0.39,0.38,-1.51,0.26,-1.19,0.67,2.01,1.11,1.74,-1.37,0.61,0.24,-0.56,0.63,0.49,1,12.52,21.630000000000003,0.91,1.1,23.79
c,e,d,c,a,0.97,0.53,-0.76,-0.31,0.01,0.4,-0.26,-0.95,0.03,-1.67,0.55,0.53,1.31,0.04,-2.11,0,9.08,6.880000000000001,0.56,2.27,15.62
a,a,c,c,c,-0.28,-0.06,1.36,-3.56,-0.21,-0.04,-0.48,-1.05,-0.24,0.52,0.41,0.33,-1.7,0.41,-0.99,1,6.22,10.0,0.35,2.86,28.6
a,b,a,a,e,0.68,-0.11,0.11,0.97,-1.84,-0.83,-0.18,0.66,-0.01,0.33,0.03,0.21,0.5,-0.39,0.33,0,9.34,7.23,0.69,3.23,23.35
b,c,b,c,e,-0.57,0.03,1.3,-0.19,1.0,-1.25,-1.2,0.3,-0.65,0.61,-0.01,1.36,0.4,0.23,-0.02,1,8.83,17.6,0.52,1.92,33.79
e,d,e,a,c,-0.26,-1.03,2.71,-0.68,-0.42,0.66,0.23,1.07,-0.55,-0.01,-0.28,0.14,-0.05,-1.7,-0.71,1,5.6,12.79,0.86,1.16,14.84
b,a,b,a,c,-2.23,0.83,-1.66,-0.26,1.54,-1.24,-0.62,-0.64,0.39,0.06,0.85,0.12,-0.01,0.51,-0.49,1,10.74,17.82,0.49,2.04,36.35
e,c,e,e,c,-0.77,-1.36,-0.39,-1.25,-0.32,0.56,-1.27,0.69,0.92,-0.21,-1.23,1.54,-1.77,-1.63,0.32,0,10.32,4.69,0.66,2.94,13.79
c,a,e,c,c,0.84,0.23,-1.92,-0.82,0.13,-1.9,1.09,-0.63,1.16,-0.69,-0.69,0.15,0.3,-1.19,-0.45,1,7.98,14.36,0.28,3.57,51.27
c,d,a,e,a,0.12,-0.27,-0.23,0.69,0.07,-1.13,-1.65,-1.44,-0.5,0.84,0.41,-0.88,0.5,0.08,0.08,0,8.44,6.0600000000000005,0.48,1.92,11.64
c,b,c,a,e,-0.82,-1.38,-1.36,-0.88,-0.78,1.21,-0.93,0.2,-0.26,-1.71,0.2,1.42,0.54,0.69,-1.13,0,9.11,6.59,0.47,1.89,12.46
a,d,b,e,c,-0.28,-0.7,1.07,-0.97,0.74,0.6,1.7,1.19,0.42,0.52,0.61,0.7,0.69,-0.28,-0.74,1,11.14,20.05,0.71,1.41,28.27
c,c,b,c,b,0.02,-0.56,1.75,1.12,0.95,1.04,1.51,-0.47,-0.41,0.94,0.96,0.6,1.62,-0.84,-0.99,0,15.69,10.45,0.73,3.7,38.66
b,b,a,e,c,-0.42,-0.57,2.48,-0.98,0.07,-1.71,0.58,-0.53,-0.16,0.12,-0.55,-1.33,-1.21,0.22,-2.08,0,7.92,2.5900000000000003,0.32,1.47,3.81
e,c,c,d,e,1.16,0.42,0.62,-0.73,-1.03,2.14,0.3,0.99,0.76,-0.61,0.1,-1.3,-0.95,-0.41,0.74,1,9.95,18.17,0.55,1.82,33.07
b,e,e,d,e,1.94,0.12,-0.28,-0.77,-0.04,-3.08,-1.92,-1.57,-1.72,-0.23,-2.03,0.72,0.4,-0.11,0.01,0,5.48,6.67,0.24,1.32,8.8
c,b,b,b,e,0.79,-0.4,1.23,0.45,-2.3,-0.13,-0.13,-0.88,-0.78,0.25,-0.26,0.82,0.16,-0.97,0.68,1,8.64,15.11,0.8,1.25,18.89
b,e,a,d,d,-0.18,1.15,-1.4,0.83,-0.32,-0.05,0.66,0.13,-0.76,0.19,1.4,0.71,-0.68,0.82,-1.41,1,10.87,18.42,0.81,1.23,22.66
d,e,b,a,e,-1.38,0.62,-0.21,-0.75,0.14,0.44,0.34,0.87,0.42,-0.49,0.07,2.06,0.37,-1.3,-1.07,1,10.83,20.25,0.77,1.3,26.32
d,a,d,d,b,0.36,1.37,0.67,-0.35,-0.57,-0.36,0.82,-1.37,-0.52,-1.07,1.82,-1.78,-1.24,1.25,0.55,0,6.38,5.140000000000001,0.38,1.61,8.28
d,c,a,a,a,1.36,0.72,-0.55,0.11,1.49,-1.23,-2.06,0.58,1.98,0.5,1.74,-0.02,-0.56,-0.03,0.0,0,16.44,10.370000000000001,0.87,7.69,79.75
e,b,d,d,b,0.83,-0.76,-1.07,0.37,1.29,1.16,0.53,0.55,-0.99,-1.11,0.8,-0.62,1.12,0.97,-0.5,0,13.04,8.100000000000001,0.58,2.38,19.28
b,b,c,b,d,0.07,0.1,0.74,1.32,-0.52,0.61,-0.5,1.58,-0.01,-0.06,-0.17,-1.38,-0.12,0.96,-0.16,1,9.37,18.44,0.79,1.27,23.42
b,a,a,d,b,-0.42,1.64,-1.41,0.43,0.42,0.47,-0.48,1.34,0.04,0.65,0.69,-1.39,-0.24,-0.06,-2.11,1,11.12,17.69,0.61,1.64,29.01
d,c,b,d,a,-1.62,0.78,-1.01,0.42,-1.22,0.15,0.41,-0.89,-0.23,0.27,0.32,0.99,0.1,-1.36,1.86,0,9.23,7.91,0.76,4.17,32.98
a,a,a,e,e,-0.0,-0.58,-1.1,3.14,1.16,0.86,1.29,1.14,0.29,0.01,-0.21,0.65,-1.73,0.98,0.09,1,13.82,21.970000000000002,0.72,1.39,30.54
e,c,c,c,b,-0.19,0.46,-0.35,1.82,-0.6,-1.91,-0.8,0.03,-0.72,-1.33,-1.81,-0.79,0.42,-0.42,-0.34,1,8.43,12.77,0.6,1.67,21.33
a,d,c,b,b,-2.0,-0.72,0.25,0.55,-1.18,0.38,-1.15,-0.21,-0.21,0.87,0.16,-0.6,0.05,0.09,0.03,0,8.95,3.7,0.55,2.22,8.21
d,c,e,d,c,0.05,-1.04,1.15,-1.31,0.58,-0.79,-2.13,0.07,0.92,-1.54,0.87,-0.88,-1.4,0.74,-0.65,0,8.52,6.2700000000000005,0.62,2.63,16.49
